,Date,Open,High,Low,Close,Adj Close,Volume
138,2019-11-01,27.16,27.9,26.9,27.27,27.27,793300.0
139,2019-11-04,27.48,28.18,27.48,28.0,28.0,674600.0
140,2019-11-05,28.459999,28.84,27.940001000000002,27.969998999999998,27.969998999999998,572300.0
141,2019-11-06,28.190001000000002,28.4,27.9,27.9,27.9,511100.0
142,2019-11-07,27.98,28.35,27.690001000000002,28.0,28.0,513300.0
143,2019-11-08,27.870001000000002,28.290001,27.49,27.5,27.5,636200.0
144,2019-11-11,27.799999,28.790001,27.73,28.25,28.25,1360200.0
145,2019-11-12,28.48,29.120001000000002,27.639999,27.99,27.99,1405000.0
146,2019-11-13,28.1,28.209999,27.76,27.799999,27.799999,593100.0
147,2019-11-14,28.17,28.639999,26.85,27.5,27.5,1658400.0
148,2019-11-18,27.940001000000002,28.139999,27.34,27.5,27.5,1045200.0
149,2019-11-19,27.719998999999998,27.799999,27.120001000000002,27.120001000000002,27.120001000000002,778500.0
150,2019-11-21,27.299999,27.41,26.82,26.9,26.9,699200.0
151,2019-11-22,26.91,27.059998999999998,26.379998999999998,26.65,26.65,919200.0
152,2019-11-25,26.809998999999998,27.700001,26.809998999999998,27.34,27.34,1617500.0
153,2019-11-26,27.52,27.6,26.66,26.780001000000002,26.780001000000002,1676700.0
154,2019-11-27,26.790001,27.01,25.959999,26.200001,26.200001,1534800.0
155,2019-11-28,26.200001,26.969998999999998,25.780001000000002,26.790001,26.790001,1150500.0
156,2019-11-29,26.950001,27.459999,26.85,27.02,27.02,1630000.0
157,2019-12-02,27.209999,29.09,27.209999,28.68,28.68,1775700.0
158,2019-12-03,29.1,30.18,28.82,30.120001000000002,30.120001000000002,1627600.0
159,2019-12-04,30.42,30.799999,29.370001000000002,29.65,29.65,2204100.0
160,2019-12-05,29.65,30.639999,28.870001000000002,30.469998999999998,30.469998999999998,1726200.0
161,2019-12-06,30.6,31.4,30.469998999999998,30.65,30.65,1348800.0
162,2019-12-09,30.879998999999998,31.059998999999998,30.07,30.110001,30.110001,590400.0
163,2019-12-10,30.15,30.15,29.57,29.74,29.74,763900.0
164,2019-12-11,29.91,30.9,29.91,30.76,30.76,1303000.0
165,2019-12-12,31.059998999999998,32.619999,31.030001000000002,32.25,32.25,1320800.0
166,2019-12-13,32.950001,33.799999,32.610001000000004,33.0,33.0,1941500.0
167,2019-12-16,33.5,34.48,33.41,33.709998999999996,33.709998999999996,1422400.0
168,2019-12-17,34.150002,34.310001,32.400002,32.630001,32.630001,1262300.0
169,2019-12-18,32.700001,33.380001,32.66,33.18,33.18,1262800.0
170,2019-12-19,33.200001,33.700001,32.900002,33.349998,33.349998,679700.0
171,2019-12-20,33.48,33.52,33.040001000000004,33.259997999999996,33.259997999999996,2528100.0
172,2019-12-23,33.259997999999996,35.0,33.259997999999996,34.599998,34.599998,827300.0
173,2019-12-26,34.720001,35.77,34.68,35.049999,35.049999,940400.0
174,2019-12-27,35.349998,35.599998,34.799999,35.0,35.0,646400.0
175,2019-12-30,35.02,35.439999,35.02,35.18,35.18,643600.0
176,2020-01-02,35.41,37.43,35.290001000000004,37.43,37.43,1312600.0
177,2020-01-03,37.0,38.77,36.529999,37.970001,37.970001,2515300.0
178,2020-01-06,37.970001,38.5,37.16,38.0,38.0,1231600.0
179,2020-01-07,38.0,38.650002,38.0,38.650002,38.650002,929800.0
180,2020-01-08,38.43,39.209998999999996,38.25,38.650002,38.650002,978500.0
181,2020-01-09,38.720001,39.080002,38.34,38.900002,38.900002,1002900.0
182,2020-01-10,38.900002,39.200001,38.82,39.150002,39.150002,919400.0
183,2020-01-13,39.349998,40.549999,39.189999,40.259997999999996,40.259997999999996,1839000.0
184,2020-01-14,40.450001,42.02,40.259997999999996,41.77,41.77,1956900.0
185,2020-01-15,41.5,43.02,40.900002,42.299999,42.299999,2561700.0
186,2020-01-16,42.77,43.290001000000004,40.130001,40.220001,40.220001,2889100.0
187,2020-01-17,40.619999,41.43,38.380001,39.299999,39.299999,3718300.0
188,2020-01-20,39.549999,41.27,39.5,40.740002000000004,40.740002000000004,1893400.0
189,2020-01-21,40.740002000000004,41.5,40.349998,40.799999,40.799999,1445700.0
190,2020-01-22,41.220001,41.599998,40.560001,41.0,41.0,1405300.0
191,2020-01-23,41.310001,41.310001,40.119999,40.68,40.68,950400.0
192,2020-01-24,40.75,41.209998999999996,39.799999,40.360001000000004,40.360001000000004,1110500.0
193,2020-01-27,39.419998,40.360001000000004,38.240002000000004,39.700001,39.700001,1317600.0
194,2020-01-28,39.450001,41.34,38.91,41.34,41.34,1763600.0
195,2020-01-29,41.900002,42.330002,41.009997999999996,41.619999,41.619999,1294300.0
196,2020-01-30,40.630001,41.150002,39.0,40.0,40.0,1862000.0
197,2020-01-31,39.41,40.259997999999996,39.099998,39.450001,39.450001,1600100.0
198,2020-02-03,39.450001,42.299999,39.450001,42.200001,42.200001,1703600.0
199,2020-02-04,42.84,44.490002000000004,42.799999,44.0,44.0,2134900.0
200,2020-02-05,43.5,43.939999,42.52,43.34,43.34,2731900.0
201,2020-02-06,45.209998999999996,49.709998999999996,45.209998999999996,49.709998999999996,49.709998999999996,6803000.0
202,2020-02-07,51.009997999999996,54.09,46.700001,46.73,46.73,8429100.0
203,2020-02-10,46.720001,49.189999,46.509997999999996,47.990002000000004,47.990002000000004,2911200.0
204,2020-02-11,49.0,49.75,48.080002,48.23,48.23,2189100.0
205,2020-02-12,48.73,49.139998999999996,47.049999,47.990002000000004,47.990002000000004,1198300.0
206,2020-02-13,47.040001000000004,48.82,45.880001,47.0,47.0,1557300.0
207,2020-02-14,47.68,47.810001,46.259997999999996,47.400002,47.400002,954600.0
208,2020-02-17,47.459998999999996,49.0,46.970001,49.0,49.0,907700.0
209,2020-02-18,48.700001,49.599998,48.099998,49.009997999999996,49.009997999999996,1138300.0
210,2020-02-19,49.450001,50.939999,49.139998999999996,50.93,50.93,2000400.0
211,2020-02-20,51.18,51.689999,50.209998999999996,50.209998999999996,50.209998999999996,1003500.0
212,2020-02-21,49.66,51.32,48.560001,50.509997999999996,50.509997999999996,811000.0
214,2020-02-27,47.0,47.57,44.5,44.700001,44.700001,1773000.0
215,2020-02-28,43.509997999999996,44.48,40.560001,43.59,43.59,3154200.0
216,2020-03-02,44.099998,47.450001,44.099998,47.0,47.0,1962800.0
217,2020-03-03,47.880001,49.75,46.299999,48.389998999999996,48.389998999999996,2101900.0
218,2020-03-04,49.84,50.439999,47.310001,48.150002,48.150002,1380400.0
219,2020-03-05,47.990002000000004,47.990002000000004,43.200001,44.59,44.59,1378200.0
220,2020-03-06,41.0,43.950001,39.799999,43.279999,43.279999,1754400.0
221,2020-03-09,38.0,39.709998999999996,35.16,35.16,35.16,2155800.0
222,2020-03-10,39.290001000000004,40.48,36.59,40.0,40.0,1991900.0
223,2020-03-11,37.810001,39.099998,32.610001000000004,35.32,35.32,2211100.0
224,2020-03-12,28.889999,32.889998999999996,23.5,31.27,31.27,1655000.0
225,2020-03-13,36.0,36.93,30.5,33.560001,33.560001,2426800.0
226,2020-03-16,27.799999,31.799999,27.459999,27.459999,27.459999,1420100.0
227,2020-03-17,28.190001000000002,28.43,24.309998999999998,27.0,27.0,4197400.0
228,2020-03-18,25.0,25.0,15.7,18.0,18.0,5032100.0
229,2020-03-19,15.97,22.200001,14.73,20.440001000000002,20.440001000000002,3933800.0
230,2020-03-20,23.0,26.99,21.049999,22.35,22.35,4389300.0
231,2020-03-23,22.0,23.860001,20.0,21.67,21.67,2404900.0
232,2020-03-24,23.709999,24.799999,21.700001,23.809998999999998,23.809998999999998,2869200.0
233,2020-03-25,23.860001,27.5,23.299999,26.42,26.42,2938400.0
234,2020-03-26,26.0,30.049999,25.540001,29.379998999999998,29.379998999999998,1725800.0
235,2020-03-27,28.200001,28.860001,26.299999,26.32,26.32,2024100.0
236,2020-03-30,26.52,27.870001000000002,25.709999,26.16,26.16,1330700.0
237,2020-03-31,26.370001000000002,26.459999,23.33,24.059998999999998,24.059998999999998,1663000.0
238,2020-04-01,22.4,22.620001000000002,21.0,21.0,21.0,2313200.0
239,2020-04-02,21.35,21.950001,20.049999,21.049999,21.049999,2890000.0
240,2020-04-03,21.219998999999998,21.219998999999998,19.0,19.5,19.5,2202300.0
241,2020-04-06,21.59,24.469998999999998,20.860001,23.01,23.01,4954700.0
242,2020-04-07,25.5,26.389999,25.0,25.200001,25.200001,4003700.0
243,2020-04-08,25.200001,26.209999,24.709999,25.620001000000002,25.620001000000002,2362000.0
244,2020-04-09,26.24,26.75,25.25,25.620001000000002,25.620001000000002,1841100.0
