Date,Open,High,Low,Close,Adj Close,Volume
2020-08-06,23.280001,23.530001,23.010000,23.219999,23.219999,56375100
2020-08-07,22.860001,22.910000,22.549999,22.790001,22.790001,56040200
2020-08-10,22.900000,23.450001,22.639999,23.450001,23.450001,52390100
2020-08-11,23.709999,23.879999,23.059999,23.080000,23.080000,66342300
2020-08-12,23.360001,23.680000,23.080000,23.480000,23.480000,67008500
2020-08-13,23.450001,23.580000,22.709999,22.840000,22.840000,44588200
2020-08-14,22.770000,22.980000,22.530001,22.670000,22.670000,38422000
2020-08-17,22.680000,22.840000,22.150000,22.600000,22.600000,52064300
2020-08-18,22.930000,23.240000,22.770000,23.020000,23.020000,49361300
2020-08-19,22.950001,23.320000,22.750000,22.889999,22.889999,51982100
2020-08-20,22.520000,22.870001,22.350000,22.730000,22.730000,55251700
2020-08-21,22.540001,22.629999,22.350000,22.559999,22.559999,38668300
2020-08-24,22.860001,23.129999,22.799999,22.969999,22.969999,51841900
2020-08-25,23.090000,23.150000,22.690001,22.870001,22.870001,37981400
2020-08-26,22.780001,22.900000,22.040001,22.219999,22.219999,69925300
2020-08-27,22.320000,22.469999,22.040001,22.150000,22.150000,35489800
2020-08-28,22.250000,22.540001,22.059999,22.540001,22.540001,31071000
2020-08-31,22.320000,22.430000,21.889999,21.889999,21.889999,48539700
2020-09-01,22.200001,22.889999,22.120001,22.870001,22.870001,66299700
2020-09-02,22.930000,23.100000,22.520000,22.799999,22.799999,53618000
2020-09-03,22.610001,23.120001,22.570000,22.879999,22.879999,87642400
2020-09-04,23.000000,23.030001,22.580000,22.920000,22.920000,52351100
